userid,movieid,score
1,260,3.8119953589826823
1,1291,3.8025048014097194
1,1196,3.458634554692888
1,1200,3.3676927361264717
1,32,3.1607763379997706
1,1374,3.136578303142832
1,2115,3.1085203764823257
1,1356,2.9432710830059117
1,2791,2.8841410523020232
1,589,2.675046252087387
2,2959,2.926821939239423
2,7153,2.5364267312452276
2,2571,2.50513284446683
2,116797,2.4643355811965284
2,593,2.232033020868621
2,44191,2.057728529798233
2,356,1.96430407348283
2,527,1.9454271048466434
2,59315,1.9392377718814733
2,68157,1.767828474574578
3,593,0.7076506122800574
3,2571,0.7030985235441033
3,1580,0.6963584939482541
3,1200,0.6357279532642627
3,589,0.6329274730598952
3,780,0.5873150958749431
3,1210,0.575840608911098
3,2762,0.5719880914641872
3,1214,0.5713129451363818
3,457,0.5708779533211676
4,50,2.9542639595775824
4,1097,2.8450430213208278
4,778,2.794635047215715
4,296,2.7834984640644036
4,1,2.638958054621936
4,2571,2.624198051790028
4,356,2.5970970329494008
4,480,2.5598080899700104
4,608,2.5500731860565
4,1198,2.505222639568345
5,380,5.626948077852161
5,454,4.790599993803098
5,356,4.57535140521633
5,292,4.492779948147891
5,480,4.410965520465258
5,344,4.162418598196768
5,32,4.145236295458717
5,434,4.072170814466511
5,185,4.046588231209165
5,587,4.036725569583831
6,480,6.2909725457434185
6,592,5.522547831275757
6,165,5.488665589834757
6,150,5.461981362423145
6,161,5.107245159069698
6,339,4.778122672342629
6,442,4.410074723033803
6,350,4.025112606098911
6,594,4.021854402202156
6,648,3.668308546503071
7,1196,4.28049270038013
7,4306,4.0512640332101695
7,47,3.3268658466166046
7,2028,3.3013837730393267
7,7438,3.2746654123890377
7,367,3.2382581866205626
7,2959,3.236002699080163
7,6874,3.047037797749086
7,480,3.0171046771867345
7,318,2.9935969704292913
8,434,6.729699033627494
8,344,6.678540869225468
8,349,6.07521407115282
8,588,5.635845092097863
8,161,5.61247334765542
8,165,5.52348689786024
8,595,5.256386843149419
8,208,5.2039341361328715
8,589,5.096060420427848
8,329,4.62208229124051
9,2571,1.3723761829304717
9,7153,1.1812493072130081
9,356,1.1216813182867578
9,589,1.0974998288079767
9,1196,1.0916847480271006
9,296,1.0206547534956636
9,318,0.9743360873400979
9,5349,0.9500387843752703
9,593,0.9429955564602456
9,260,0.940086723384723
10,356,2.367694819155549
10,79132,2.2121508859900008
10,318,1.9729518689065355
10,81845,1.7963776455467797
10,1682,1.6346105960756667
10,88125,1.6157604350524342
10,6539,1.6121951522334081
10,5816,1.605612918872755
10,260,1.5992267470308505
10,6874,1.5988011431751772
11,592,4.108597441895414
11,380,3.4266415970384085
11,344,3.425636605672555
11,454,3.3633187159180635
11,185,3.36130537266576
11,161,3.1360769936852875
11,588,3.094216465814369
11,296,3.0175227823350146
11,316,2.995602723569643
11,288,2.9803328524608332
12,356,1.107310818465922
12,595,1.0769130354539624
12,593,1.071977229165028
12,296,1.0526282378225615
12,1,0.9379235919916372
12,339,0.9138720877387313
12,1270,0.8872955261149646
12,480,0.8297954604067986
12,587,0.8297954604067986
12,2858,0.8282965247057799
13,260,1.121864308721377
13,2028,1.0796370093328487
13,1210,0.9804743275141596
13,79132,0.9004183682772815
13,1196,0.8756179269169527
13,593,0.839508184591305
13,2858,0.837135499809599
13,2716,0.8180914266807643
13,2628,0.7904026403223038
13,2762,0.7782460249921808
14,592,6.604404710982992
14,380,5.46580558519805
14,292,5.383974524709186
14,208,5.014440542313571
14,587,4.723316260129808
14,34,4.662291555365154
14,185,4.659065683860786
14,32,4.62930033815
14,500,4.621795766812418
14,454,4.604358652380446
15,7153,4.07920206796662
15,356,3.187607374644513
15,58559,2.895911857235676
15,4896,2.728716474943756
15,44191,2.723130894225488
15,1036,2.599787775604764
15,4306,2.4836654508930542
15,480,2.459534875751748
15,60069,2.4400318005578425
15,1258,2.4253531842085816
16,58559,3.2401981904778445
16,2571,2.9249270556378653
16,2959,2.9132817013999035
16,296,2.8095997135303654
16,7361,2.1367832880862476
16,6016,2.073032521189389
16,2028,1.9933067373927653
16,778,1.9770559066411504
16,608,1.9429630411238377
16,110,1.8779512974563757
17,593,3.999250815512197
17,260,3.7889738522283416
17,5952,3.4636291899962206
17,2762,3.18673447591882
17,50,2.714660452156552
17,1136,2.6706618435097806
17,778,2.6425494418703313
17,608,2.640812068426942
17,8961,2.639486342260606
17,4306,2.627663823937613
18,318,4.830315758361473
18,7153,4.53631616790839
18,6874,4.494537263081526
18,58559,4.2687759855683485
18,4878,4.255432486800685
18,1210,4.24849452218405
18,260,4.239792903955399
18,2028,3.937663277925466
18,49272,3.9281127088047882
18,32,3.9186611332401515
19,2628,4.855385005427311
19,780,4.24597169185692
19,2470,4.052330916507044
19,593,3.8957334284064418
19,150,3.8638799512484527
19,50,3.725494999257224
19,296,3.7105171214167454
19,919,3.6737793454736285
19,2571,3.632163782481753
19,3527,3.6283139546816026
20,1210,3.493696834399011
20,1265,3.4717979673744317
20,1,3.3210327261864836
20,1196,3.2784341643250596
20,480,3.101250561508152
20,6539,3.0976402037616975
20,260,3.093498491044325
20,8360,3.061762220960616
20,500,3.050833000745363
20,1270,2.9106135829896678
21,260,4.58461037008939
21,2571,3.8320437034145653
21,58559,3.6010992185786463
21,1210,3.588687086291347
21,33794,3.5533025065075163
21,318,3.548699702329718
21,4011,3.539259656681815
21,356,3.5204845126015942
21,47,3.5137108295536135
21,1682,3.5048346079518393
22,318,3.0696357051303953
22,6539,2.599687348423423
22,5952,2.5892935307171467
22,2571,2.569645122149935
22,79132,2.5674327201064875
22,48394,2.529320926312228
22,296,2.336610420884491
22,356,2.3290173166592134
22,6874,2.1574198119552963
22,2028,2.089412725713574
23,50,2.6863887469994507
23,318,2.5013828331955783
23,47,2.3113789564198273
23,356,2.295338425936068
23,778,2.1888264265468242
23,608,2.1870181568022216
23,3578,1.9854787247811645
23,593,1.965955016848834
23,4011,1.881851484721126
23,296,1.8355614882362246
24,356,2.3522701759402476
24,260,2.350799012751315
24,7153,2.002595901054939
24,7361,1.9716335097258488
24,54286,1.969705959301522
24,2959,1.964203102504884
24,6539,1.958260055301375
24,48516,1.8167698278060325
24,1196,1.8060119239712518
24,5952,1.7979519807039723
25,318,2.7063964384463413
25,58559,2.5816778288727225
25,7153,2.510562671893984
25,2959,2.0763299482341298
25,109487,1.984658558747352
25,1196,1.9126163827053397
25,527,1.764145474186553
25,593,1.7101169420799325
25,4993,1.7072443782125502
25,59315,1.6312369579606338
26,380,5.636630439741088
26,590,5.575148976814292
26,292,5.051335839003497
26,296,5.046088481328045
26,356,5.034740025224384
26,434,4.914101403146426
26,110,4.852181320975944
26,480,4.70504978852649
26,161,4.6504450717840955
26,318,4.613169340898259
27,1291,2.956265235800541
27,2000,2.615635269009119
27,733,2.600785347154561
27,1240,2.55666115684017
27,1356,2.4142863343046317
27,1374,2.40178572674215
27,2628,2.3636603001284633
27,592,2.3214416166246568
27,457,2.2345184272840264
27,2406,2.222865114975527
28,1704,4.224983933418103
28,1210,4.006539785143021
28,2628,3.953113777929468
28,4306,3.9258346457433375
28,296,3.8062005185120538
28,5952,3.7180749844422714
28,588,3.6986168788033504
28,8360,3.688865508571855
28,356,3.6888505494015496
28,3793,3.6537428328190504
29,296,2.3873436302747972
29,2571,2.0876278688972296
29,47,1.9055478327960662
29,1221,1.7903189570518754
29,7153,1.784601316968766
29,2959,1.7305439135986782
29,1196,1.6506611122209476
29,1210,1.589855373831335
29,2329,1.580466114586505
29,1193,1.5736532641491805
30,260,3.300504803157802
30,5952,2.4342169452009936
30,58559,2.4182809008545063
30,2959,2.2687464968830158
30,527,1.9712984616269724
30,593,1.9575632499208417
30,2028,1.9223294661959436
30,293,1.9111152220636596
30,1291,1.7135014884678106
30,296,1.6960939483566586
31,32,3.9422784872855012
31,1,3.5703354071113282
31,95,2.7256166658678507
31,653,2.710592219647629
31,786,2.6348243507946427
31,661,2.237138872287231
31,494,2.1039076613086913
31,628,2.0197286681176148
31,6,1.9971023942671529
31,25,1.9882309241337803
32,653,2.942119203903143
32,786,2.901655596014363
32,1356,2.4636376642133575
32,5,2.410829481117669
32,110,2.209552980233173
32,17,2.083428459566745
32,104,2.0827069484622727
32,260,1.973012455831709
32,14,1.7863554981845307
32,762,1.7692846983942814
33,1196,2.183232520270933
33,356,2.005008195235323
33,260,1.9494570596880996
33,608,1.9432093349221995
33,357,1.931131041855089
33,480,1.9149567542763026
33,377,1.805742992663697
33,1079,1.8041383589299038
33,110,1.7895693765226808
33,6,1.7751212607932692
34,4993,2.866912710093588
34,6365,2.7118085507090366
34,1210,2.697392479911434
34,4306,2.6916310659328304
34,8961,2.666489417015916
34,7153,2.6441359456090208
34,1240,2.5119428114726774
34,296,2.506883850974477
34,1196,2.4930251695305246
34,2683,2.4905934326821604
35,296,4.847484381709465
35,380,4.583931489911339
35,292,4.051821940258866
35,434,3.9538364420346213
35,153,3.674261556256041
35,349,3.6427259596237658
35,161,3.361694108158546
35,253,3.356334494135537
35,588,3.3375833218151127
35,110,3.3045365022921573
36,1304,1.1542958294285341
36,1196,1.025607914657152
36,150,0.9421848146898459
36,356,0.9331495410545846
36,1291,0.9140102395121457
36,608,0.9024584027310582
36,2028,0.9012661994060602
36,1198,0.8987574123912279
36,1204,0.8975677704104856
36,1250,0.8889665332690301
37,185,5.788581836616798
37,588,5.636669135834755
37,434,5.620256977441865
37,231,5.473462853494625
37,161,5.282965473680376
37,349,5.019485565515207
37,356,4.70262969953372
37,110,4.625029104252181
37,300,3.8599391571276533
37,47,3.6600841569169305
38,590,6.4329769890835475
38,150,6.324947645279481
38,380,5.7365122460185844
38,356,5.525592699939633
38,454,5.393868348244887
38,357,5.324834370702041
38,480,5.227914567870926
38,349,4.963822618821029
38,377,4.934056918445366
38,587,4.918006480140008
39,1198,3.6135158869463297
39,260,3.355538725128393
39,1097,3.1532089851510405
39,480,2.9688449136061443
39,1580,2.850129162661713
39,2028,2.720522318450914
39,318,2.524338007714848
39,1222,2.489299973453963
39,356,2.486505901636881
39,1,2.4831794916792878
40,296,4.881643809708157
40,588,4.767214222703598
40,367,4.542630324990825
40,349,4.5269610654452705
40,344,4.481263069744183
40,380,4.430172430412546
40,539,4.222144125407836
40,593,3.79482994159724
40,161,3.7474165373006354
40,597,3.542291956490856
41,1193,3.965223765404667
41,296,3.7057837151419335
41,608,3.680575025620489
41,318,3.67767489609583
41,79132,3.457472348685606
41,7153,2.9672492390085736
41,58559,2.9602142511834595
41,4995,2.9523910615904265
41,2028,2.9404992142697703
41,3147,2.9387971998207623
42,1676,3.7109500528156727
42,1580,3.7079785777515895
42,3175,3.688029474761817
42,1240,3.6667528933591327
42,1196,3.6618929033533427
42,2762,3.491535337721314
42,1200,3.4715748000926667
42,2985,3.407562799258759
42,1527,3.2140738058053677
42,1407,3.213681997054476
43,592,7.639528766647207
43,380,6.384074194897479
43,185,6.3031282918276474
43,587,5.411407962908187
43,595,5.131650047580371
43,2,4.300474630701593
43,420,3.80505274815933
43,593,3.804901820090102
43,648,3.7880604442107453
43,288,3.7711068391393514
