index,title,reviews,recommends(%),authors,publisher,price_n,price_r
"1","人世间（第十届茅盾文学奖获奖作品，雷佳音、辛柏青、宋佳、殷桃、萨日娜、宋春丽、张凯丽等主演）","37619","99.9","梁晓声","中国青年出版社","154.70","238.00"
"2","遥远的救世主（天道原著王志文主演电视剧畅销遥远的救世主作者豆豆三部曲之一）","275993","99.8","豆豆","作家出版社","24.00","48.00"
"3","万物小历史 和爸妈读万物科学简史 给孩子的万物科普绘本 成长","58387","100","张玉光","北京联合出版有限公司","34.00","40.00"
"4","蛤蟆先生去看心理医生（年销200万册！英国经典心理咨询入门书，知名心理学家李松蔚强烈推荐）","976335","100","罗伯特・戴博德","天津人民出版社","26.00","38.00"
"5","被讨厌的勇气：“自我启发之父”阿德勒的哲学课 岸见一郎","518799","100","岸��一郎","机械工业出版社","41.20","55.00"
"6","乌合之众：群体心理研究（精装收藏版）","8691","100","古斯塔夫・勒庞","水利水电出版社","21.40","42.80"
"7","次第花开 修订版","526431","100","希阿荣博堪布","海南出版社","19.90","39.80"
"8","活着（余华代表作，精装，易烊千玺推荐阅读。当当专享印签藏书票+限量赠珍藏复刻手稿）","631877","100","余华","北京十月文艺出版社","31.00","45.00"
"9","法治的细节（罗翔新作，法律随笔，评热点、论法理、聊读书、谈爱情，人间清醒与你坦诚相见）","29911","100","罗翔","云南人民出版社","34.00","49.80"
"10","三体：全三册 刘慈欣代表作，亚洲“雨果奖”获奖作品！","1741045","99.8","刘慈欣","重庆出版社","51.10","93.00"
"11","强权与铁腕：普京传","7881","99.7","安格斯・罗克斯伯勒","中信出版社","43.50","58.00"
"12","杀死一只知更鸟（豆瓣9.2，关于勇气与正义的成长教科书，影响全球5000万家庭的“教养宝典”，奥巴马、贝克汉姆、奥普拉鼎力推荐）","541665","100","哈珀・李","译林出版社","48.00","48.00"
"13","马尔克斯：百年孤独（50周年纪念版）","2028686","99.8","加西亚・马尔克斯","南海出版公司","39.60","55.00"
"14","苍炎（世界花样滑冰王者羽生结弦个人自传）","2090","100","羽生结弦","北京联合出版有限公司","46.80","65.00"
"15","消失的13级台阶（罗翔推荐！荣获日本推理小说至高荣誉江户川乱步奖！是否值得为一场痛快的复仇，陪葬掉自己的人生？）","222311","100","高野和明","上海文艺出版社","21.00","42.00"
"16","少年读史记（套装全5册）","1159017","99.9","张嘉骅","青岛出版社","50.00","100.00"
"17","苍炎.2,飞翔篇","931","99.9","羽生结弦","北京联合出版有限公司","48.90","68.00"
"18","人生海海（麦家重磅力作，莫言、董卿盛赞，连续两年高居畅销榜，发行量超200万册）","857467","100","麦家","北京十月文艺出版社","27.50","55.00"
"19","你当像鸟飞往你的山（中文版销量超200万册，比尔・盖茨年度特别推荐！登顶《纽约时报》畅销榜80+周，这本书比你听说的还要好！）","1271325","100","塔拉","南海出版公司","34.80","59.00"
"20","东野圭吾：白夜行（易烊千玺、孟非推荐，东野圭吾作品无冕之王）","1911853","99.9","东野圭吾","南海出版公司","35.10","59.60"
"21","画给孩子的中国历史 : 精装彩绘本（地图里的上下五千年，孩子拿起来就放不下。）","144731","100","柳萍","吉林美术出版社","40.00","58.00"
"22","明朝那些事儿增补版.全集（全新印签版）","358035","99.9","当年明月","北京联合出版有限公司","393.00","405.00"
"23","沉思录","321884","99.4","马可.奥勒留","中央编译出版社","10.00","20.00"
"24","心灵教科书绘本系列：西兰花先生的理发店（教会孩子：敢于打破常规思维，培养创新意识）丁虹绘本馆出品[3-6岁]","61043","100","福田纯子","海豚出版社","29.90","59.80"
"25","面纱（毛姆关于女性精神觉醒的经典作品，三次改编成电影。2018全新编校+无删减全译本）","132200","100","毛姆","时代文艺出版社","12.20","27.00"
"26","时间从来不语，却回答了所有问题（文学大师季羡林百岁人生的智慧精粹，未来不足惧，过往不须泣，只有时间才懂人心。）","27952","100","季羡林","百花洲文艺出版社","27.50","55.00"
"27","文城（余华新书，时隔8年重磅归来，《活着》之后又一精彩力作）","277205","100","余华","北京十月文艺出版社","34.80","59.00"
"28","正面管教(修订版)","1889829","100","简・尼尔森","北京联合出版公司","19.00","38.00"
"29","走遍中国 图说天下 寻梦之旅","420106","100","霍晨昕","四川人民出版社","22.10","29.90"
"30","神奇校车・图画书版（全12册，新增科学博览会1册）","1657978","99.9","乔安娜柯尔","贵州人民出版社","99.00","198.00"
"31","人间失格（日本小说家太宰治代表作，一个对村上春树影响至深的绝望凄美故事）","2188515","99.8","太宰治","作家出版社","10.10","25.00"
"32","红楼梦原著版（上、下册，全两册，全本120回）（团购电话:400-1066666转6）","569085","99.6","曹雪芹","人民文学出版社","34.00","59.70"
"33","青铜葵花正版曹文轩纯美小说7-8-9-10-12岁草房子系列儿童文学校园青少年版四五六年级下册小学生课外阅读书籍全套原版完整版","440442","99.9","曹文轩","江苏少年儿童出版社","11.00","22.00"
"34","小熊和最好的爸爸（全7册）","1465698","99.6","阿兰德・丹姆","贵州人民出版社","17.50","35.00"
"35","平凡的世界：全三册（全新2021版，茅盾文学奖获奖作品，激励青年的不朽经典）","947705","100","路遥","北京十月文艺出版社","98.00","138.00"
"36","亲密关系：通往灵魂的桥梁（新版）：杨天真推荐，这本书告诉我们如何穿透自我障碍，用爱酿造幸福秘方","723791","99.9","克里斯多福・孟","湖南文艺出版社","22.50","45.00"
"37","作文六要","1688","100","王鼎钧","商务印书馆","32.10","38.00"
"38","非暴力沟通（修订版）","686211","100","马歇尔","华夏出版社","32.80","59.80"
"39","心安即是归处（季羡林百年生命智慧。央视《朗读者》多次动情朗读本书名篇，贾平凹、白岩松、金庸、林青霞诚意推荐）","287524","100","季羡林","古吴轩出版社","41.70","49.00"
"40","万物由来科学绘本 写给孩子的科普绘本","297069","100","项华","北京联合出版有限公司","35.70","42.00"
"41","云边有个小卖部（陆定昊诚挚推荐，随书附赠云边镇四季明信片和张嘉佳作词单曲彩蛋）","1306674","100","张嘉佳","湖南文艺出版社","28.70","42.00"
"42","窗边的小豆豆(2018版)","1523268","99.9","黑柳彻子","南海出版公司","27.90","39.50"
"43","她来了请准备（月经来了，你准备好了吗？）","15244","100","优米・斯泰恩斯","海豚出版社","29.50","59.00"
"44","东野圭吾：解忧杂货店（胡歌、王俊凯、刘昊然倾情推荐，简体中文1000万册纪念版）","2452397","99.7","东野圭吾","南海出版公司","34.80","59.00"
"45","悉达多（译者姜乙翻译）【果麦经典】","68136","100","赫尔曼・黑塞","天津人民出版社","16.00","32.00"
"46","小金鱼逃走了","238554","100","五味太郎","新星出版社","17.50","35.00"
"47","少年读山海经（地理+神话+怪兽+奇闻+古文，套装 全3册 ）","13180","100","刘兴诗","青岛出版社","50.00","100.00"
"48","乌合之众 : 大众心理研究（群体心理学创始人古斯塔夫・勒庞代表作之一。极简翻译文风，语言深入浅出，减少艰深晦涩）","682078","100","古斯塔夫・勒庞","民主与建设出版社","12.30","26.00"
