index,title,reviews,recommends,authors,price_n,price_r
"1","遥远的救世主（天道原著王志文主演电视剧畅销遥远的救世主作者豆豆三部曲之一）","257131条评论","99.8%推荐","豆豆","作家出版社","24.00","48.00"
"2","蛤蟆先生去看心理医生（年销200万册！英国经典心理咨询入门书，知名心理学家李松蔚强烈推荐）","916198条评论","100%推荐","罗伯特・戴博德","天津人民出版社","26.00","38.00"
"3","次第花开 修订版","503832条评论","100%推荐","希阿荣博堪布","海南出版社","18.90","39.80"
"4","活着（余华代表作，精装，易烊千玺推荐阅读。当当专享印签藏书票+限量赠珍藏复刻手稿）","607380条评论","100%推荐","余华","北京十月文艺出版社","26.50","45.00"
"5","女孩别怕 所有女性都用得上的安全经验（教你如何鉴别渣男，告诉你什么叫沉默成本、损失厌恶、贴现效应）","3425条评论","100%推荐","田静・女孩别怕团队","中信出版社","37.30","49.80"
"6","你当像鸟飞往你的山（中文版销量超200万册，比尔・盖茨年度特别推荐！登顶《纽约时报》畅销榜80+周，这本书比你听说的还要好！）","1256709条评论","100%推荐","塔拉","南海出版公司","34.80","59.00"
"7","中华人民共和国民法典（64开便携版 压纹烫金版）2020年6月新版","22853条评论","100%推荐","法律出版社","法律出版社","6.30","18.00"
"8","三体：全三册 刘慈欣代表作，亚洲“雨果奖”获奖作品！","1724865条评论","99.8%推荐","刘慈欣","重庆出版社","46.50","93.00"
"9","小熊和最好的爸爸（全7册）","1459076条评论","99.6%推荐","阿兰德・丹姆","贵州人民出版社","17.50","35.00"
"10","马尔克斯：百年孤独（50周年纪念版）","2016133条评论","99.8%推荐","加西亚・马尔克斯","南海出版公司","39.60","55.00"
"11","月光落在左手上（精装珍藏版）","102028条评论","99.8%推荐","余秀华","北京十月文艺出版社","29.00","58.00"
"12","被讨厌的勇气：“自我启发之父”阿德勒的哲学课 岸见一郎","496545条评论","100%推荐","岸��一郎","机械工业出版社","37.90","55.00"
"13","时间从来不语，却回答了所有问题（文学大师季羡林百岁人生的智慧精粹，未来不足惧，过往不须泣。金庸、贾平凹、白岩松、林青霞等推荐）","13740条评论","99.9%推荐","季羡林","百花洲文艺出版社","27.50","55.00"
"14","少年读史记（套装全5册）","1142709条评论","99.9%推荐","张嘉骅","青岛出版社","50.00","100.00"
"15","我想要两颗西柚（大张伟私藏书单，力荐阅读。你们是平等的，那个人有权利知道，此刻的你正在喜欢Ta。）","45841条评论","99.9%推荐","胡辛束","浙江文艺出版社","22.50","45.00"
"16","人生海海（麦家重磅力作，莫言、董卿盛赞，连续两年高居畅销榜，发行量超200万册）","846410条评论","100%推荐","麦家","北京十月文艺出版社","27.50","55.00"
"17","乌合之众 : 大众心理研究（群体心理学创始人古斯塔夫・勒庞代表作之一。极简翻译文风，语言深入浅出，减少艰深晦涩）","678520条评论","100%推荐","古斯塔夫・勒庞","民主与建设出版社","12.20","26.00"
"18","置身事内：中国政府与经济发展（罗永浩、罗振宇、何帆、刘格菘、张军、周黎安、王烁联袂推荐，复旦经院毕业课）","28430条评论","99.9%推荐","兰小欢","上海人民出版社","32.50","65.00"
"19","消失的13级台阶（罗翔推荐！荣获日本推理小说至高荣誉江户川乱步奖！是否值得为一场痛快的复仇，陪葬掉自己的人生？）","214667条评论","100%推荐","高野和明","上海文艺出版社","21.00","42.00"
"20","沉思录","315646条评论","99.4%推荐","马可.奥勒留","中央编译出版社","9.00","20.00"
"21","生死疲劳（诺奖得主莫言畅销代表作，六道轮回的想象，灵魂不死的动物）","62075条评论","99.9%推荐","莫言","浙江文艺出版社","31.02","66.00"
"22","面纱（毛姆关于女性精神觉醒的经典作品，三次改编成电影。2018全新编校+无删减全译本）","128961条评论","100%推荐","毛姆","时代文艺出版社","12.20","27.00"
"23","云边有个小卖部（陆定昊诚挚推荐，随书附赠云边镇四季明信片和张嘉佳作词单曲彩蛋）","1297789条评论","100%推荐","张嘉佳","湖南文艺出版社","21.20","42.00"
"24","红楼梦原著版（上、下册，全两册，全本120回）（团购电话:400-1066666转6）","556858条评论","99.6%推荐","曹雪芹","人民文学出版社","34.00","59.70"
"25","亲密关系：通往灵魂的桥梁（新版）：杨天真推荐，这本书告诉我们如何穿透自我障碍，用爱酿造幸福秘方","713495条评论","99.9%推荐","克里斯多福・孟","湖南文艺出版社","20.30","45.00"
"26","大语文那些事儿（全6册）大语文时代，得语文者得天下。字词、作文、阅读、古诗、古文一网打尽。","77778条评论","100%推荐","赵旭","北京理工大学出版社","89.10","180.00"
"27","东野圭吾：白夜行（易烊千玺、孟非推荐，东野圭吾作品无冕之王）","1901743条评论","99.9%推荐","东野圭吾","南海出版公司","44.70","59.60"
"28","世界尽头的咖啡馆（做决定前读一遍，少走弯路！美国57所高校指定研讨读物）","95030条评论","100%推荐","约翰・史崔勒基","天津人民出版社","29.90","45.00"
"29","疯狂的化学 我是学霸 给孩子的趣味化学启蒙绘本","2025条评论","99.9%推荐","郭元婕","北京联合出版有限公司","39.00","52.00"
"30","杀死一只知更鸟（豆瓣9.2，关于勇气与正义的成长教科书，影响全球5000万家庭的“教养宝典”，奥巴马、贝克汉姆、奥普拉鼎力推荐）","521802条评论","100%推荐","哈珀・李","译林出版社","48.00","48.00"
"31","平凡的世界：全三册（全新2021版，茅盾文学奖获奖作品，激励青年的不朽经典）","935274条评论","100%推荐","路遥","北京十月文艺出版社","98.00","138.00"
"32","全球最美的100个地方 图说天下 国家地理","321636条评论","99.8%推荐","图说天下.国家地理","北京联合出版公司","7.70","19.90"
"33","这世界很好，但你也不差（打破满意度低幸福感差，这世界真叫人疲倦的死循环。万特特全新作品，《这世界很烦，但你要很可爱》姊妹篇）","32081条评论","100%推荐","万特特","新世界出版社","22.10","49.00"
"34","这么好玩的物理 我是学霸 给孩子的物理启蒙科普绘本","1384条评论","100%推荐","项华","北京联合出版有限公司","39.00","52.00"
"35","丰子恺万般滋味，都是生活","573557条评论","100%推荐","丰子恺","华中科技大学出版社","18.90","42.00"
"36","人间失格（日本小说家太宰治代表作，一个对村上春树影响至深的绝望凄美故事）","2186212条评论","99.8%推荐","太宰治","作家出版社","10.10","25.00"
"37","走遍中国 图说天下 寻梦之旅","406440条评论","100%推荐","霍晨昕","四川人民出版社","22.10","29.90"
"38","小王子（纪念版，李继宏口碑译作，作者基金会官方认证简体中文版）【果麦经典】","1466529条评论","99.9%推荐","安托万・德・圣埃克苏佩里","天津人民出版社","19.90","39.80"
"39","山月记（如果你很迷茫！自我拉扯！一定要读《山月记》。日本文豪中岛敦笔下的中国物语，常年入选日本国语教材）【果麦经典】","158417条评论","99.9%推荐","中岛敦","三秦出版社","22.50","45.00"
"40","傅雷家书","58027条评论","100%推荐","傅雷","万卷出版公司","15.00","39.80"
"41","理想国","257544条评论","99.7%推荐","柏拉图","中国华侨出版社","15.70","35.00"
"42","正面管教(修订版)","1877990条评论","100%推荐","简・尼尔森","北京联合出版公司","17.10","38.00"
"43","趣说中国史：如果把中国422位皇帝放在一个群里，他们会聊些什么？","182646条评论","100%推荐","趣哥","台海出版社","24.90","49.80"
"44","文城（余华新书，时隔8年重磅归来，《活着》之后又一精彩力作）","268583条评论","100%推荐","余华","北京十月文艺出版社","44.20","59.00"
"45","神奇校车・图画书版（全12册，新增科学博览会1册）","1647735条评论","99.9%推荐","乔安娜柯尔","贵州人民出版社","99.00","198.00"
"46","本尊也想知道【亲签版+定制贴纸】（网络原名：魔尊也想知道）特签随机掉落","626条评论","100%推荐","青色羽翼","广东旅游出版社","34.80","49.80"
"47","底层逻辑：看清这个世界的底牌","37209条评论","99.9%推荐","刘润","机械工业出版社","51.70","69.00"
"48","如何说孩子才会听 怎么听孩子才肯说（全新修订版，涂磊推荐）","937475条评论","99.9%推荐","玛兹丽施","中央编译出版社","18.40","36.80"
"49","他在云之南（人气作家景行燃情悬爱力作！随书附赠“追光”书签。）","32931条评论","100%推荐","景行","百花文艺出版社","19.90","39.80"
"50","那个不为人知的故事","128555条评论","99.9%推荐","Twentine","四川文艺出版社","18.90","42.00"
"51","刀锋（毛姆经典哲思之作，苏州大学方华文教授全新修订&详细注释本）","59100条评论","99.8%推荐","毛姆","时代文艺出版社","18.60","38.00"
"52","外婆出租中","20060条评论","100%推荐","丽芙・阿巴思诺特","四川文艺出版社","18.90","42.00"
"53","作家榜经典：月亮与六便士（全新未删节插图珍藏版！毛姆写给年轻人的梦想之书！满地都是六便士，他却抬头看见了月亮！）","1339740条评论","100%推荐","毛姆","浙江文艺出版社","19.90","39.80"
"54","遥远的救世主+天幕红尘+天局（王志文主演电视剧《天道》原著小说，豆豆矫健三部曲一套读懂世界。）","29360条评论","99.8%推荐","豆豆","作家出版社","67.00","134.00"
"55","橘子不是唯一的水果","191488条评论","99.8%推荐","珍妮特・温特森","北京联合出版有限公司","24.50","49.00"
"56","人类群星闪耀时（无删减全译本。《一个陌生女人的来信》作者茨威格的传记杰作，14位时代英雄，14个人类命运攸关的历史时刻）","128058条评论","100%推荐","斯蒂芬・茨威格","时代文艺出版社","13.70","28.00"
"57","罪与罚（刑法学罗翔老师推荐版本，用爱和生活去对抗痛苦！）【果麦经典】","86723条评论","100%推荐","陀思妥耶夫斯基","浙江文艺出版社","34.00","68.00"
"58","人间值得（90岁心理医生恒子奶奶写给生活的哲思小书。十点读书、《读者》2019年度“十大影响力好书”、人民日报力荐2020新年书单。）","530879条评论","100%推荐","中村恒子","北京日报出版社","24.90","49.90"
"59","夏天、烟火和我的尸体（张震、田�D推荐。乙一16岁惊世成名作，高口碑暗黑杰作，获第6届JUMP小说大奖）","175308条评论","100%推荐","乙一","南海出版公司","22.50","45.00"
"60","山茶文具店（陆定昊诚挚推荐，日本畅销作家小川糸备受好评暖心之作）","149495条评论","100%推荐","小川糸","湖南文艺出版社","22.50","49.80"
"61","法治的细节（罗翔新作，法律随笔，评热点、论法理、聊读书、谈爱情，人间清醒与你坦诚相见）","23056条评论","100%推荐","罗翔","云南人民出版社","37.30","49.80"
"62","焦虑的人（九个焦虑的人，一场人质劫持，能解救他们的不是警察，而是彼此。《外婆的道歉信》《清单人生》巴克曼拿手的暖心治愈故事）","22133条评论","100%推荐","弗雷德里克・巴克曼","天津人民出版社","24.90","49.80"
"63","人世间（第十届茅盾文学奖获奖作品，雷佳音、辛柏青、宋佳、殷桃、萨日娜、宋春丽、张凯丽等主演）","36997条评论","99.9%推荐","梁晓声","中国青年出版社","178.50","238.00"
"64","不能不懂的编程 我是学霸 给孩子的创新编程启蒙绘本","5541条评论","100%推荐","项华","北京联合出版有限公司","39.00","52.00"
"65","皮特猫・3~6岁好性格养成书：第一辑（共6册）（乐观、积极、开朗……荣获19项大奖的好性格榜样，在美国家喻户晓）","281406条评论","100%推荐","艾瑞克・利温","文汇出版社","69.90","139.90"
"66","一个陌生女人的来信（茨威格中短篇小说选，豆瓣9.4高评分译作，德文直译无删节）","193288条评论","99.9%推荐","斯蒂芬・茨威格","时代文艺出版社","10.30","22.00"
"67","罗生门（芥川龙之介小说集。《人间失格》作者太宰治是芥川的头号书迷）","442433条评论","100%推荐","芥川龙之介","时代文艺出版社","14.60","31.00"
"68","跟着诗词去旅行 图说天下 寻梦之旅","149553条评论","100%推荐","郝娟菡","四川人民出版社","22.10","29.90"
"69","果麦经典：了凡四训（“我命由我不由天！”曾国藩、胡适、稻盛和夫推崇的生活方式手册；费勇教授精美译文）","116066条评论","100%推荐","袁了凡","三秦出版社","16.00","32.00"
"70","月亮与六便士（精装典藏版，未删节全译+详细详注+12幅高更画作+14幅毛姆照片）","97930条评论","99.9%推荐","毛姆","时代文艺出版社","17.00","45.00"
"71","沟通的方法（别怕，沟通是场无限游戏。得到CEO脱不花为你备好的沟通心法，助你在职场上一路开挂）团购电话:4001066666转6","91895条评论","100%推荐","脱不花","新星出版社","49.00","69.00"
"72","简爱（英国女作家夏洛蒂・勃朗特的长篇小说，翻译家宋兆霖未删节全译本）","251774条评论","99.7%推荐","夏洛蒂勃朗特","作家出版社","14.00","29.80"
"73","心安即是归处（季羡林百年生命智慧。央视《朗读者》多次动情朗读本书名篇，贾平凹、白岩松、金庸、林青霞诚意推荐）","282775条评论","100%推荐","季羡林","古吴轩出版社","21.80","49.00"
"74","四五快读 全彩图升级版――幼儿快速识字阅读法（全8册）(让孩子爱上阅读 快乐识字)[精选套装]","447961条评论","99.9%推荐","杨其铎","湖南科技出版社","105.70","211.40"
