index,title,reviews,recommends(%),authors,publisher,price_n,price_r
"1","你也走了很远的路吧（新增2万余字，4篇文章，关于特殊时期成长的勇气，以及曾经的那些人）","405117","100","卢思浩","湖南文艺出版社","24.90","49.80"
"2","蛤蟆先生去看心理医生（热销300万册！英国经典心理咨询入门书，知名心理学家李松蔚强烈推荐）","1508102","100","罗伯特・戴博德","天津人民出版社","19.00","38.00"
"3","青铜葵花（当当定制版）","318486","99.3","曹文轩","天天出版社有限责任公司","9.90","25.00"
"4","一读就上瘾的中国史1+2(套装全2册)","72524","100","温伯陵","台海出版社","57.40","119.60"
"5","被讨厌的勇气：“自我启发之父”阿德勒的哲学课 岸见一郎","1027035","100","岸��一郎","机械工业出版社","33.00","55.00"
"6","真希望你也喜欢自己（房琪shou部作品重磅上市！写给所有年轻人的成长通关秘籍！杨天真、大冰、鲁豫、张含韵诚挚作序推荐。）","486195","100","房琪kiki","北京联合出版有限公司","35.80","49.80"
"7","我与地坛（纪念版）","524768","99.9","史铁生","人民文学出版社","19.40","29.00"
"8","陪孩子弯道超车（给家长和孩子的逆袭指南）","82859","100","吉田","北京联合出版有限公司","44.60","62.00"
"9","病隙碎笔 2021纪念版（史铁生充满灵性光辉的生命笔记，启迪无数读者的长篇哲思散文经典）","59594","100","史铁生","湖南文艺出版社","24.00","48.00"
"10","长安的荔枝","186421","100","马伯庸","湖南文艺出版社","29.00","45.00"
"11","带壳的牡蛎是大人的心脏（当当专享签章版+作者亲绘贴纸。火爆全网现象级漫画，白茶、沈月、阮筠庭、文森特动物园推荐！）","224613","100","拟泥nini","北京联合出版有限公司","40.80","68.00"
"12","跟着课本去旅行 带着孩子游世界 图说天下中小学生语文知识拓展","7400","100","霍晨昕","石油工业出版社","19.20","40.00"
"13","钝感力（渡边淳一经典励志大作！央视新闻、《奇葩说》鼎力推荐，马东、蔡康永、杨天真、王俊凯推荐书目。写给易因小事敏感，什么都往心里去的人。)","732041","99.9","渡边淳一","青岛出版社","16.00","32.00"
"14","木心全集・讲稿系列：文学回忆录(上下册)（2020版）","33678","100","木心","上海三联书店","123.00","188.00"
"15","活着（余华代表作，精装，易烊千玺推荐阅读）","1076488","100","余华","北京十月文艺出版社","31.00","45.00"
"16","明朝那些事儿增补版.全集","442261","99.9","当年明月","北京联合出版有限公司","222.80","405.00"
